tconst,popularity,production_countries,averageRating,category,primaryName,birthYear,titles,votes,runtime_minutes,start_year,poster_url,video_link,overview,original_title,genres,languages
tt0099266,7.499,['FR'],7.6,actor,Julien Ciamaca,1978,My Mother's Castle - My Mother's Castle,6059.0,98.0,1990,https://image.tmdb.org/t/p/w154/sdLkKpZ89HrdUARyHYgBGEB62cB.jpg,https://www.youtube.com/watch?v=B7RSYfXIjj8,"Chaque fin de semaine et en été le jeune Marcel et sa famille passent leurs vacances dans les collines au-dessus de Marseille. Marcel a hâte de retrouver son «petit frère des collines», Lili des Bellons. Mais le passage par les berges du canal à travers des domaines de châtelains est une véritable aventure, et une angoisse renouvelée pour Augustine, quand Bouzigue offre la possibilité de gagner du temps pour rejoindre par ce raccourci le lieu de leur villégiature. C'est toutefois Isabelle, fille d'un prétendu poète, qui monopolise l'attention du jeune Marcel, et pour laquelle il consent des sacrifices qui inquiètent sa famille et son ami.",Le château de ma mère,"Adventure, Biography, Comedy, Drama, Romance","en, fr, oc"
tt0099406,2.38,['FR'],6.5,actress,Judith Godrèche,1972,The Disenchanted - The Disenchanted,6744.0,78.0,1990,https://image.tmdb.org/t/p/w154/6oKypJMpI6wN9mZgSsC4uy9pSHC.jpg,https://www.youtube.com/watch?v=FRFgW9qOZYM,"Beth, lycéenne de dix-sept ans, gaie, rêveuse, déterminée et passionnée par Rimbaud, va en trois jours rencontrer trois hommes d'âge différent qui bouleverseront sa vie.",La Désenchantée,"Drama, Romance","en, fr"
tt0099785,1.839,['US'],7.7,actor,Macaulay Culkin,1980,Home Alone - Home Alone,680208.0,103.0,1990,https://image.tmdb.org/t/p/w154/rFehgOlKneRZaNdxjjAEfF16NKj.jpg,https://www.youtube.com/watch?v=F4D9R7JlP7I,"La famille McCallister a décidé de passer les fêtes de Noël à Paris. Seulement Kate et Peter McCallister s'aperçoivent dans l'avion qu'il leur manque le plus jeune de leurs enfants, Kevin, âgé de 9 ans. D'abord désespéré, Kevin reprend vite les choses en main et s'organise pour vivre le mieux possible. Quand deux cambrioleurs choisissent sa maison pour commettre leurs méfaits.",Home Alone,"Comedy, Family","en, fr"
tt0102536,10.648,"['DE', 'FR', 'JP', 'GB', 'US']",7.7,actress,Winona Ryder,1971,Night on Earth - Night on Earth,68317.0,129.0,1991,https://image.tmdb.org/t/p/w154/uGiew76F44NSx46ZR8nprmLJN58.jpg,https://www.youtube.com/watch?v=F1m6GlPyOSU,"5 histoires de taxis se déroulant simultanément dans 5 villes du monde. À Los Angeles, une directrice de casting propose un rôle à la jeune femme qui conduit le taxi. À New York, la complicité entre un chauffeur de taxi et son client. À Paris, la conversation entre un chauffeur noir et une passagère aveugle. À Rome, les confidences d'un conducteur bavard au prêtre qui se trouve dans son véhicule. À Helsinki, trois fêtards montent dans un taxi.",Night on Earth,"Comedy, Drama","de, en, fi, fr, it"
tt0104431,37.534,['US'],6.9,actor,Macaulay Culkin,1980,Home Alone 2: Lost in New York - Home Alone 2: Lost in New York,422280.0,120.0,1992,https://image.tmdb.org/t/p/w154/fmnjO68z9uS68nZJ21FmbW8hZ2a.jpg,https://www.youtube.com/watch?v=F4D9R7JlP7I,"Après Paris, c'est à Miami que la tribu McCallister décide de passer les fêtes de Noël. À l'aube du jour J, toute la famille est sur le pied de guerre et file a l'aéroport en prenant bien garde de ne pas oublier Kevin. Mais celui-ci s'éclipse pour acheter des piles pour son walkman, il ne retrouve plus les siens et s'embarque par mégarde pour New York...",Home Alone 2: Lost in New York,"Adventure, Comedy, Crime, Family","en, fr"
tt0105618,0.791,"['FI', 'FR']",6.5,actress,Léonor Graser,1984,The Last Bolshevik - The Last Bolshevik,6743.0,120.0,1993,https://image.tmdb.org/t/p/w154/ghs9kyq9ukRxhXVQlSwiHyKP8OU.jpg,https://www.youtube.com/watch?v=8dHB0Eqslhk,Chris Marker réalise un portrait de son ami Alexandre Medvedkine qui retrace conjointement l'histoire de l'URSS et celle d'un réalisateur partagé entre idéologie et indépendance.,Le Tombeau d'Alexandre,"Biography, Documentary, History","de, en, fr, ru"
tt0108037,20.448,['US'],7.8,actor,Tom Guiry,1981,The Sandlot - The Sandlot,107409.0,101.0,1993,https://image.tmdb.org/t/p/w154/pXea9T8GUTaaIuuEc3Omceu5Gy.jpg,https://www.youtube.com/watch?v=52yV9dSzV1E,Scotty Smalls vient d'aménager en ville. Les enfants du quartier le considèrent comme une véritable andouille. Il ne sait même pas jeter une balle de base-ball ! Mais les choses ne tarderont pas à changer lorsque Scotty se joindra à eux sur le terrain de sport…,The Sandlot,"Comedy, Drama, Family","en, fr"
tt0109702,2.699,['FR'],7.0,actress,Virginie Ledoyen,1976,Cold Water - Cold Water,2361.0,95.0,1994,https://image.tmdb.org/t/p/w154/xCVnp2j8URmfHVZKzW8F40hjrze.jpg,https://www.youtube.com/watch?v=bauqwKeEEmM,"Dans la France du début des années 70, le difficile apprentissage de la vie d'adulte pour deux adolescents mal aimés, Christine et Gilles. La première, placée en hôpital psychiatrique par son père, s'enfuit pour rejoindre le second à une soirée qui se tient dans une maison abandonnée. Là, les deux jeunes gens décident de partir en Lozère.",L'Eau froide,Drama,"en, fr, hu"
tt0110922,5.327,['FR'],7.2,actor,Romain Duris,1974,Good Old Daze - Good Old Daze,3550.0,101.0,1995,https://image.tmdb.org/t/p/w154/al6sp86pK4JyprrfKJA1OJeUMkM.jpg,https://www.youtube.com/watch?v=5EkHEO2I0C0,"Quelques jeunes hommes se retrouvent plusieurs années après avoir quitté le lycée. Ils assistent pendant son accouchement la compagne de leur meilleur ami, mort une semaine auparavant d’une overdose. C’est pour eux l’occasion de confronter leurs souvenirs.",Le Péril jeune,"Comedy, Drama, Romance","en, fr"
tt0111019,6.906,['FR'],7.3,actress,Élodie Bouchez,1973,Wild Reeds - Les roseaux sauvages,6961.0,110.0,1994,https://image.tmdb.org/t/p/w154/drigVgAFI9aFnYBbaH5MSWhI8fs.jpg,https://www.youtube.com/watch?v=L3On9Zj0Xnw,"1962. La guerre d'Algérie touche à sa fin. Dans le Sud-Ouest de la France, le frère de Serge, soldat, fils de paysans italiens, épouse la première venue pour obtenir une semaine de permission. Le jeune marié songe à déserter et compte sur madame Alvarez, la mère de Maïté, professeur et militante communiste, pour l'aider. Mais il repart en Algérie et se fait tuer dans le djebel. Des lycéens du village sont témoins de ces événements tragiques. Henri, un jeune pied-noir, vient passer son bac en métropole. L'oreille collée à un transistor, il suit minute par minute le dénouement du conflit. Un soir, à l'internat, François, le petit ami de Maïté, découvre son homosexualité dans les bras de Serge...",Les Roseaux sauvages,"Drama, Romance",fr
tt0112387,4.86,['FR'],6.8,actress,Marie Gillain,1975,Fresh Bait - Fresh Bait,2508.0,115.0,1995,https://image.tmdb.org/t/p/w154/gCSORegasZgByCz94b87NftlT27.jpg,https://www.youtube.com/watch?v=WaQO3LRr91Q,"Trois jeunes gens rêvent de partir faire fortune aux États-Unis. Mais, manquant d’argent pour se lancer, ils concoctent un plan dangereux : la fille séduit des hommes riches tandis que les deux garçons s’introduisent chez eux et les cambriolent. Mais le premier essai tourne mal, et les garçons décident d’abattre froidement la victime.",L'Appât,"Crime, Drama","en, fr"
tt0112945,4.515,['FR'],6.6,actress,Vanessa Paradis,1972,Elisa - Élisa,2290.0,115.0,1995,https://image.tmdb.org/t/p/w154/tAbVXTrndpZYAwNSTXFnbgtISHe.jpg,https://www.youtube.com/watch?v=zU9aZo8EdjI,"Une adolescente part à la recherche de son père, responsable de la tragédie qui a couté la vie à sa mère.",Elisa,Drama,fr
tt0113057,5.341,['FR'],6.7,actress,Virginie Ledoyen,1976,A Single Girl - A Single Girl,2042.0,90.0,1995,https://image.tmdb.org/t/p/w154/3AW4tRb2MgZgzgEbcoSVWeyUugh.jpg,https://www.youtube.com/watch?v=gOU5irEzdVM,"Après avoir revu son partenaire, une jeune fille enceinte décide d'élever seule son enfant.",La fille seule,Drama,"en, fr"
tt0113670,12.187,['US'],7.6,actress,Liesel Matthews,1984,A Little Princess - A Little Princess,38348.0,97.0,1995,https://image.tmdb.org/t/p/w154/7xgFsx41Lnn4zxMXF6rDP7ah5wD.jpg,https://www.youtube.com/watch?v=Q3WJrWZ_npg,"Sara mène une vie de rêve aux Indes avec son père qui l'adore et la protège comme une véritable petite princesse. Nourrie de légendes exotiques, son imagination l'entraîne dans un univers magique plein de héros, de monstres menaçants et de belles princesses... jusqu'au jour où son père doit partir à la guerre. Confiée au pensionnat new-yorkais de miss Minchin, Sara va se faire un tas d'amies en leur contant ses merveilleuses histoires. Mais, à l'annonce de la mort de son père, elle se retrouve seule et sans fortune. Sara, désespérée, ne sait pas qu'un miracle se prépare...",A Little Princess,"Drama, Family, Fantasy","en, fr"
tt0114266,3.756,['FR'],7.2,actress,Clara Bellar,1972,Rendezvous in Paris - Rendez-vous in Paris,2629.0,98.0,1995,https://image.tmdb.org/t/p/w154/qJ4su2pmWsOthJqfQ5RnNgMQu58.jpg,https://www.youtube.com/watch?v=iTyXgdc3R4M,"Dans différents quartier de Paris, 3 histoires de séduction amoureuse, 3 variations sur le mensonge des apparences et les paradoxes de la vérité. Des images impressionnistes de Paris et une mise en scène du doute perpétuel… (« Le rendez-vous de 7 heures », « Les bancs de Paris », et « Mère et enfant, 1907 »)",Les Rendez-vous de Paris,"Comedy, Drama, Romance","en, fr"
tt0115561,12.293,"['FR', 'ES', 'IT']",7.3,actress,Romane Bohringer,1973,The Apartment - L'appartement,16410.0,116.0,1996,https://image.tmdb.org/t/p/w154/h3HxZbysl5Gfa9cq3o81GWeKbQW.jpg,https://www.youtube.com/watch?v=GwapQhrZ-D0,"Quelques jours avant son mariage, Max est rattrapé par un souvenir. Croyant reconnaître la voix de Lisa, qu'il a aimée quelques années auparavant, il part à sa recherche. Ce qui entraîne pas mal de bouleversements pour cinq personnages engagés dans cette aventure...",L'Appartement,"Drama, Mystery, Romance","en, fr, ja"
